ID,item_cnt_month
0,0.43169278
1,0.13363092
2,0.7802879
3,0.16823412
4,0.13363092
5,0.4966762
6,1.0100507
7,0.14780867
8,0.73864496
9,0.13363092
10,2.6705923
11,0.22319934
12,0.12898913
13,0.33200446
14,1.649436
15,2.6996212
16,0.13363092
17,0.13782471
18,1.2753761
19,0.117824316
20,0.709396
21,0.13363092
22,0.8836526
23,0.7413547
24,1.4649745
25,0.13363092
26,0.13363092
27,0.44728267
28,0.8226148
29,3.2007315
30,0.3690132
31,0.13363092
32,0.39260107
33,0.5734275
34,0.12942854
35,0.13059275
36,0.14000753
37,0.463162
38,0.22826241
39,0.1392841
40,0.58626896
41,0.9598406
42,3.2212167
43,3.3149514
44,0.35567772
45,0.13363092
46,0.6521999
47,0.19006543
48,0.22900555
49,0.94513613
50,1.211736
51,0.22319934
52,0.6631196
53,0.18021122
54,5.5894866
55,2.829681
56,2.3251195
57,2.097587
58,5.316254
59,4.2165165
60,4.714874
61,0.47717625
62,0.3304816
63,0.37391588
64,0.13363092
65,0.13363092
66,0.7452683
67,0.1313928
68,0.35567772
69,0.14426921
70,0.13363092
71,1.7137265
72,0.4963951
73,1.0015155
74,0.13363092
75,0.13363092
76,0.36916566
77,0.13363092
78,0.32107037
79,0.56220585
80,0.8115908
81,3.0196164
82,0.6703951
83,0.2090325
84,0.8495996
85,1.162213
86,0.63520634
87,0.13035847
88,3.4752905
89,1.3370147
90,0.7898856
91,0.38494322
92,1.9538429
93,0.16823412
94,0.22229001
95,0.12716168
96,0.1313928
97,0.42527065
98,0.61321026
99,1.453832
100,0.53970313
101,0.6742397
102,0.22339204
103,0.38494322
104,0.13205427
105,0.13363092
106,0.13363092
107,0.63597286
108,0.13745955
109,0.13363092
110,0.20675132
111,0.13363092
112,0.13363092
113,0.13363092
114,0.27632278
115,0.26172853
116,0.13363092
117,0.1422401
118,9.531234
119,0.1475064
120,0.12139872
121,0.13085276
122,0.37156975
123,0.5304177
124,0.4870929
125,1.1943095
126,0.13363092
127,0.12680992
128,0.13363092
129,0.22516192
130,0.38494322
131,0.13363092
132,0.38494322
133,2.8619106
134,0.1276384
135,0.38494322
136,0.22319934
137,0.13363092
138,0.91358304
139,0.13363092
140,0.21363993
141,0.45931983
142,0.14570278
143,0.22319934
144,0.13363092
145,0.13363092
146,0.13363092
147,0.16432087
148,0.13363092
149,0.13363092
150,0.14245838
151,0.13363092
152,5.547464
153,0.25959378
154,0.13363092
155,0.20238203
156,0.2285669
157,0.13014519
158,0.1690134
159,0.39196995
160,0.13363092
161,0.22319934
162,0.13363092
163,0.46458554
164,0.35598952
165,0.13400644
166,0.54286116
167,0.1363439
168,0.13363092
169,0.13323587
170,0.22319934
171,0.47562963
172,0.37315023
173,1.1024216
174,1.3487399
175,2.8772857
176,1.226862
177,0.13363092
178,0.47023344
179,0.13563648
180,0.9966685
181,0.40054706
182,0.13363092
183,0.16169745
184,0.21937215
185,0.13363092
186,0.13587552
187,0.19357063
188,0.13363092
189,0.13363092
190,0.13363092
191,0.572929
192,0.58626896
193,0.16441968
194,0.13014519
195,0.15844868
196,0.38494322
197,2.6590238
198,1.1944145
199,0.13363092
200,0.13363092
201,0.13363092
202,0.18567444
203,1.1922903
204,0.1508964
205,0.13363092
206,0.13363092
207,0.13014169
208,1.3684918
209,0.51652604
210,0.22628893
211,0.14589474
212,0.12908986
213,0.38494322
214,0.14114395
215,0.5539037
216,0.4520005
217,0.22136112
218,1.9670852
219,0.4385019
220,0.42379895
221,0.13363092
222,0.13363092
223,0.7342886
224,2.5075104
225,0.35181677
226,0.4031426
227,0.13363092
228,0.20659122
229,0.13363092
230,0.13363092
231,0.48173326
232,0.13363092
233,0.380329
234,0.13363092
235,0.1663249
236,0.22436129
237,0.3722546
238,0.38494322
239,0.21362403
240,0.81423193
241,0.12228088
242,0.13363092
243,0.13363092
244,0.13363092
245,0.23844647
246,1.6697748
247,0.41958672
248,0.45713186
249,0.13013762
250,0.7102478
251,0.17541061
252,0.2602509
253,0.9687823
254,0.36365268
255,5.547464
256,0.13363092
257,0.18187207
258,0.4903372
259,0.2234205
260,0.123169765
261,0.13434218
262,0.2154325
263,0.13363092
264,0.12382795
265,0.4456464
266,0.13363092
267,0.22319934
268,0.13059275
269,0.13498601
270,0.9779906
271,0.13737057
272,0.17841326
273,0.6742397
274,12.069136
275,0.13363092
276,0.38494322
277,1.3378694
278,0.38566047
279,0.19312844
280,0.18732128
281,0.16835587
282,0.15405571
283,0.7306312
284,0.18732128
285,0.23873568
286,0.13363092
287,0.86561453
288,0.24404392
289,0.38494322
290,0.13363092
291,0.13406882
292,0.2654902
293,0.1629692
294,0.7825393
295,0.86704683
296,0.1771934
297,0.16898757
298,0.13363092
299,0.13363092
300,0.13290225
301,0.51469785
302,0.80139226
303,0.72954243
304,0.13014519
305,0.13014169
306,0.21539488
307,0.16965033
308,0.2650727
309,0.13363092
310,0.13363092
311,0.3810464
312,0.82022715
313,0.19312844
314,0.13363092
315,0.38494322
316,0.15986407
317,2.093468
318,0.12994349
319,0.18005803
320,0.13363092
321,0.1327517
322,0.68378395
323,0.14837325
324,0.41125858
325,0.44838297
326,0.3808664
327,0.13363092
328,0.13363092
329,0.39051872
330,0.13363092
331,0.13363092
332,0.16523214
333,0.24471214
334,0.89451873
335,0.2671163
336,0.14467949
337,0.77402514
338,0.3955531
339,0.3755669
340,0.14223553
341,0.22950497
342,0.13363092
343,0.96543485
344,0.13764428
345,0.13616271
346,4.1376104
347,3.4651103
348,0.1425744
349,0.28431213
350,0.13363092
351,0.457179
352,0.13363092
353,0.1507549
354,0.13363092
355,0.13363092
356,0.38494322
357,0.7825393
358,0.5784314
359,0.38494322
360,0.16823412
361,3.1664898
362,0.6742397
363,0.89451873
364,0.52619046
365,0.49644792
366,0.13363092
367,0.13363092
368,0.13363092
369,0.19300045
370,0.13363092
371,0.38494322
372,0.6742397
373,0.13363092
374,1.2909722
375,2.297231
376,0.41852152
377,0.23873568
378,0.42799634
379,0.13363092
380,2.8003228
381,0.49644792
382,0.48365325
383,0.13363092
384,1.5960662
385,0.4256106
386,0.4849099
387,0.13363092
388,0.18245745
389,0.12915343
390,0.13363092
391,0.14901468
392,0.18201074
393,0.36814624
394,0.13363092
395,0.13363092
396,1.9690688
397,0.34695783
398,0.13363092
399,0.42129725
400,0.13363092
401,0.43641973
402,1.5487021
403,2.3863251
404,0.38369066
405,0.14698736
406,0.15457861
407,0.1286346
408,0.14519638
409,0.13363092
410,0.13363092
411,1.0448557
412,0.13357608
413,0.1979371
414,0.13363092
415,4.0773883
416,0.13363092
417,0.13363092
418,0.13363092
419,0.13363092
420,0.35932183
421,1.3456466
422,0.38494322
423,0.98780686
424,0.14219289
425,0.17901295
426,0.13363092
427,0.13363092
428,1.0058501
429,0.43814272
430,0.7949311
431,0.6174929
432,0.12890758
433,0.13363092
434,0.12766254
435,0.8179892
436,0.14257786
437,0.8368038
438,0.5678931
439,0.6683084
440,0.15668349
441,0.18830967
442,0.22319934
443,0.1974426
444,0.14219289
445,0.3344854
446,0.23451932
447,0.22373188
448,0.38494322
449,0.594989
450,0.38494322
451,0.20242718
452,0.17438176
453,0.22475205
454,0.39382508
455,0.18367277
456,0.4066838
457,0.13363092
458,0.49190146
459,0.54805624
460,17.388407
461,1.2112039
462,0.38494322
463,0.58972794
464,0.49627525
465,0.13363092
466,0.13363092
467,0.13363092
468,0.13363092
469,0.29590034
470,0.38494322
471,0.3592605
472,0.16823412
473,0.13363092
474,0.9966685
475,1.3456466
476,0.13363092
477,0.12636892
478,0.13415909
479,0.13363092
480,0.13363092
481,0.13363092
482,0.14092654
483,0.38494322
484,0.9116053
485,0.46037364
486,0.5115027
487,0.14666158
488,0.13363092
489,2.3905618
490,0.17907287
491,0.13363092
492,0.38249752
493,0.13363092
494,0.37401688
495,0.13532668
496,0.14901468
497,0.13363092
498,5.2612376
499,0.13363092
500,0.13363092
501,0.52651674
502,0.44680017
503,0.13363092
504,0.981965
505,0.60205895
506,0.85295206
507,0.15453431
508,0.81339324
509,0.30642232
510,0.16264626
511,0.13941208
512,0.23249903
513,0.13363092
514,0.12890758
515,0.13363092
516,0.22319934
517,0.5151467
518,0.8451572
519,0.4717651
520,0.36264852
521,0.4822877
522,0.58900803
523,1.2291373
524,0.16823412
525,0.49003994
526,0.22306065
527,0.16686541
528,0.13014519
529,0.12854342
530,0.13363092
531,0.564236
532,0.1304045
533,0.12798588
534,0.13363092
535,0.12390511
536,0.13363092
537,0.15737486
538,0.26778817
539,0.18502748
540,0.7828452
541,0.13363092
542,0.24334726
543,0.14819577
544,0.1313928
545,0.13363092
546,0.38783616
547,0.14006361
548,0.13563648
549,0.13408561
550,0.13363092
551,0.2667171
552,0.55227184
553,0.14090398
554,0.13434218
555,0.31688035
556,0.15806761
557,0.18732128
558,0.13363092
559,0.1606892
560,0.27107638
561,0.65940773
562,0.13309896
563,0.13363092
564,0.13363092
565,0.15608725
566,0.16515948
567,0.13363092
568,0.20861211
569,0.13685074
570,0.13363092
571,0.13363092
572,0.7825393
573,0.24535045
574,0.13363092
575,0.13363092
576,0.25090584
577,0.13363092
578,0.13363092
579,0.3973289
580,0.13363092
581,0.13363092
582,0.13363092
583,0.13363092
584,0.82053906
585,0.1258526
586,0.13363092
587,0.49088615
588,2.5322952
589,0.17679681
590,0.47984362
591,0.29368466
592,2.2996738
593,0.14474067
594,0.1546615
595,0.18179744
596,0.16246244
597,0.13363092
598,0.13434687
599,0.13363092
600,0.1362678
601,0.16543964
602,0.13363092
603,0.13059275
604,0.21975748
605,0.12768236
606,0.1297328
607,0.13363092
608,0.12880385
609,0.38526478
610,0.34803134
611,0.62248445
612,0.13363092
613,0.13363092
614,0.13363092
615,0.7904949
616,0.38494322
617,0.26446894
618,0.48365325
619,0.14901468
620,0.33497497
621,0.13363092
622,0.13363092
623,0.49124497
624,0.38494322
625,0.38494322
626,0.7825393
627,0.13363092
628,0.13533086
629,0.16823412
630,0.22661223
631,0.13363092
632,0.16823412
633,0.13363092
634,0.5371061
635,0.28579837
636,0.13363092
637,0.22732742
638,0.24775472
639,0.15330823
640,0.50852835
641,0.7015697
642,0.15115222
643,0.13363092
644,0.12994349
645,0.13363092
646,0.7825393
647,0.14901468
648,0.13363092
649,0.16823412
650,0.23175806
651,0.8535308
652,0.13363092
653,0.16646895
654,0.15579554
655,0.38494322
656,0.29864615
657,0.13363092
658,0.13363092
659,0.1558586
660,0.5136202
661,0.22159849
662,0.13363092
663,0.99141866
664,0.13191396
665,0.33905566
666,0.16904218
667,0.13363092
668,0.6742397
669,0.16823412
670,0.14554788
671,0.1343944
672,0.15729412
673,0.53970003
674,0.13363092
675,0.13363092
676,0.41447806
677,0.7510622
678,0.22319934
679,0.6632708
680,0.13363092
681,0.12278707
682,0.31850833
